Division,Date,HomeTeam,AwayTeam,Full_Time_Result,Half_Time_Home_Team_Goals,Half_Time_Away_Team_Goals,Half_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Target_Shots,Away_Team_Target_Shots,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Home_Team_Red_Cards.1,Bet365_Home_Win_Odds,Bet365_Draw_Odds,Bet365_Away_Win_Odds,BetAndWin_Home_Win_Odds,BetAndWin_Draw_Odds,BetAndWin_Away_Win_Odds,Interwetten_Home_Win_Odds,Interwetten_Draw_Odds,Interwetten_Away_Win_Odds,WilliamHill_Home_Win_Odds,WilliamHill_Draw_Odds,WilliamHill_Away_Win_Odds,VCBet_Home_Win_Odds,VCBet_Draw_Odds,VCBet_Away_Win_Odds,Home Overall Score,Home Attack Score,Home Middle Score,Home Defensive Score,Home Budget,Away Overall Score,Away Attack Score,Away Middle Score,Away Defensive Score,Away Budget,HOME_ELO,AWAY_ELO,Difference_Overall_Score,Difference_Attack_Score,Difference_Middle_Score,Difference_Defensive_Score,Difference_Budget
SP1,2006-08-26,Valencia,Betis,1.0,1.0,0.0,H,14.0,8.0,4.0,5.0,18.0,26.0,5.0,6.0,3.0,3.0,0.0,0.0,1.57,3.6,6.0,1.6,3.5,5.25,1.6,3.4,5.2,1.61,3.3,5.0,1.55,3.25,5.5,81,83,80,78,25.0,76,76,74,73,5.0,1010.7980500059134,989.2019499940866,5,7,6,5,20.0
SP1,2006-08-27,Ath Bilbao,Sociedad,0.0,1.0,0.0,H,7.0,10.0,2.0,4.0,19.0,23.0,4.0,2.0,2.0,4.0,0.0,0.0,2.0,3.2,3.75,1.95,3.2,3.6,2.0,3.0,3.6,1.9,3.1,3.6,1.9,3.2,3.4,76,75,74,73,1.0,72,72,72,70,2.5,995.7980500059134,1004.2019499940866,4,3,2,3,-1.5
SP1,2006-08-27,Espanol,Gimnastic,2.0,0.0,0.0,D,20.0,18.0,6.0,7.0,25.0,27.0,6.0,7.0,2.0,3.0,0.0,0.0,1.72,3.4,5.0,1.7,3.4,4.55,1.75,3.3,4.2,1.8,3.1,4.0,1.65,3.25,4.5,76,78,74,72,15.0,72,75,70,68,1.5,980.7980500059134,1019.2019499940866,4,3,4,4,13.5
SP1,2006-08-27,La Coruna,Zaragoza,1.0,2.0,1.0,H,14.0,13.0,6.0,6.0,22.0,19.0,1.0,6.0,4.0,4.0,0.0,1.0,2.0,3.2,3.75,1.95,3.25,3.55,2.0,3.2,3.0,2.05,3.1,3.2,1.9,3.2,3.5,75,72,75,75,8.0,76,78,77,72,5.0,1010.7980500059134,989.2019499940866,-1,-6,-2,3,3.0
SP1,2006-08-27,Osasuna,Getafe,2.0,0.0,0.0,D,15.0,7.0,7.0,2.0,26.0,22.0,6.0,1.0,5.0,4.0,0.0,0.0,1.83,3.3,4.33,1.85,3.35,3.8,1.85,3.2,3.8,1.83,3.2,3.75,1.75,3.2,4.35,78,80,76,73,7.5,74,74,74,74,1.0,971.1970750088701,1028.8029249911299,4,6,2,-1,6.5
SP1,2006-08-27,Real Madrid,Villarreal,0.0,0.0,0.0,D,14.0,13.0,3.0,4.0,22.0,18.0,4.0,5.0,2.0,3.0,0.0,0.0,1.53,3.8,6.0,1.5,3.85,5.75,1.55,3.5,5.5,1.5,3.4,6.0,1.45,3.6,6.5,84,85,81,81,85.0,77,80,76,73,15.0,995.7980500059134,1004.2019499940866,7,5,5,8,70.0
SP1,2006-08-27,Recreativo,Mallorca,0.0,0.0,0.0,D,7.0,17.0,2.0,6.0,19.0,15.0,3.0,2.0,3.0,2.0,0.0,0.0,2.3,3.25,3.0,2.2,3.2,3.0,2.2,3.0,3.1,2.25,3.1,2.8,2.25,3.1,2.8,72,70,71,68,1.5,72,71,71,71,2.5,995.7980500059134,1004.2019499940866,0,-1,0,-3,-1.0
SP1,2006-08-27,Santander,Ath Madrid,2.0,0.0,1.0,A,16.0,11.0,8.0,4.0,25.0,25.0,11.0,2.0,3.0,4.0,0.0,1.0,3.1,3.2,2.25,3.0,3.2,2.2,2.9,3.0,2.3,2.8,3.1,2.25,2.75,3.1,2.25,72,72,71,68,2.5,79,82,76,77,6.0,980.7980500059134,1019.2019499940866,-7,-10,-5,-9,-3.5
SP1,2006-08-28,Celta,Barcelona,2.0,1.0,0.0,H,12.0,12.0,3.0,6.0,21.0,16.0,4.0,7.0,0.0,2.0,1.0,0.0,5.5,3.4,1.67,5.0,3.6,1.6,4.2,3.3,1.75,4.5,3.2,1.7,5.0,3.25,1.6,74,76,73,73,6.0,85,83,83,82,75.0,980.7980500059134,1019.2019499940866,-11,-7,-10,-9,-69.0
SP1,2006-08-29,Sevilla,Levante,1.0,2.0,0.0,H,18.0,6.0,10.0,3.0,1.0,3.0,6.0,1.0,1.0,3.0,0.0,0.0,1.44,4.0,7.5,1.45,3.75,7.0,1.55,3.5,5.5,1.44,3.6,6.5,1.5,3.6,5.5,79,81,76,77,15.0,74,73,74,73,2.5,1018.9415793853732,981.0584206146268,5,8,2,4,12.5
SP1,2006-09-09,Ath Madrid,Valencia,2.0,0.0,1.0,A,22.0,8.0,2.0,5.0,24.0,23.0,7.0,1.0,1.0,3.0,1.0,1.0,2.4,3.2,2.87,2.3,3.2,2.8,2.4,2.8,3.0,2.37,3.0,2.7,2.35,3.0,2.7,79,82,76,77,6.0,81,83,80,78,25.0,999.6679610253979,1030.332038974602,-2,-1,-4,-1,-19.0
SP1,2006-09-09,Barcelona,Osasuna,1.0,3.0,0.0,H,16.0,9.0,6.0,2.0,8.0,15.0,5.0,2.0,0.0,1.0,0.0,0.0,1.28,5.0,10.0,1.3,4.65,8.5,1.33,4.2,8.0,1.28,4.5,8.0,1.25,5.0,8.5,85,83,83,82,75.0,78,80,76,73,7.5,1034.9003277552572,955.4986972476996,7,3,7,9,67.5
SP1,2006-10-09,Betis,Ath Bilbao,1.0,2.0,0.0,H,12.0,12.0,8.0,4.0,15.0,17.0,3.0,5.0,1.0,3.0,0.0,0.0,2.0,3.3,3.6,1.95,3.3,3.5,2.0,3.1,3.4,2.1,3.0,3.2,2.0,3.2,3.25,76,76,74,73,5.0,76,75,74,73,1.0,1008.5601885354592,976.4398114645408,0,1,0,0,4.0
SP1,2006-10-09,Getafe,Santander,1.0,0.0,0.0,D,14.0,10.0,3.0,2.0,18.0,15.0,7.0,3.0,0.0,4.0,0.0,0.0,1.83,3.3,4.33,1.75,3.4,4.3,1.8,3.1,4.2,1.83,3.0,4.0,1.85,3.2,3.75,74,72,74,75,1.0,72,74,72,67,2.5,1037.7734265689417,971.8275484281016,2,-2,2,8,-1.5
SP1,2006-10-09,Gimnastic,Celta,2.0,0.0,0.0,D,7.0,8.0,2.0,2.0,19.0,20.0,6.0,3.0,0.0,4.0,0.0,0.0,2.6,3.2,2.62,2.7,3.2,2.4,2.6,3.0,2.6,2.5,3.1,2.5,2.5,3.1,2.5,72,73,69,69,1.5,74,76,73,72,6.0,998.5237973472454,1001.4762026527546,-2,-3,-4,-3,-4.5
SP1,2006-10-09,Levante,Real Madrid,2.0,1.0,2.0,A,10.0,15.0,2.0,6.0,21.0,13.0,1.0,0.0,3.0,1.0,2.0,0.0,7.0,3.75,1.5,7.5,4.35,1.35,6.3,3.5,1.5,6.0,3.4,1.5,6.5,3.6,1.45,74,75,74,73,2.5,84,81,80,78,85.0,948.4929626666865,1028.3635079538537,-10,-6,-6,-5,-82.5
SP1,2006-10-09,Mallorca,La Coruna,0.0,0.0,0.0,D,14.0,10.0,2.0,2.0,19.0,24.0,2.0,6.0,0.0,2.0,0.0,0.0,2.5,3.1,2.8,2.5,3.15,2.6,2.5,2.9,2.8,2.5,3.1,2.5,2.4,3.1,2.6,72,71,72,71,2.5,75,72,74,74,8.0,1000.2638005891567,1014.7361994108433,-3,-1,-2,-3,-5.5
SP1,2006-10-09,Sociedad,Sevilla,2.0,0.0,1.0,A,2.0,3.0,2.0,3.0,3.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,3.1,3.1,2.3,2.95,3.25,2.2,2.9,2.9,2.4,2.8,3.1,2.25,2.8,3.1,2.25,72,71,73,70,2.5,79,83,73,77,15.0,976.2887003244234,1046.8548290550364,-7,-12,0,-7,-12.5
SP1,2006-10-09,Villarreal,Recreativo,2.0,0.0,0.0,D,13.0,8.0,7.0,3.0,17.0,14.0,12.0,2.0,1.0,1.0,0.0,0.0,1.5,3.75,7.0,1.45,3.75,6.75,1.55,3.5,5.5,1.44,3.6,6.5,1.45,3.6,6.5,77,81,77,74,15.0,72,74,73,70,1.5,984.6679610253979,1015.3320389746021,5,7,4,4,13.5
SP1,2006-10-09,Zaragoza,Espanol,1.0,1.0,0.0,H,5.0,9.0,4.0,1.0,16.0,20.0,4.0,9.0,3.0,2.0,1.0,1.0,1.72,3.3,5.0,1.75,3.3,4.35,1.8,3.1,4.2,1.8,3.1,4.0,1.7,3.25,4.5,76,78,74,72,5.0,76,78,74,68,15.0,1007.5174692988815,962.4825307011185,0,0,0,4,-10.0
SP1,2006-09-16,La Coruna,Villarreal,1.0,1.0,0.0,H,19.0,16.0,7.0,5.0,23.0,24.0,7.0,7.0,1.0,4.0,0.0,0.0,2.3,3.25,3.0,2.15,3.2,3.1,2.2,3.1,3.0,2.05,3.1,3.2,2.2,3.0,3.0,75,72,74,74,8.0,77,81,77,74,15.0,1029.1855843745766,970.2185760616645,-2,-9,-3,0,-7.0
SP1,2006-09-17,Ath Bilbao,Ath Madrid,2.0,0.0,2.0,A,6.0,11.0,0.0,4.0,12.0,11.0,3.0,3.0,0.0,1.0,0.0,0.0,2.7,3.25,2.5,2.6,3.25,2.45,2.55,3.1,2.55,2.5,3.1,2.5,2.4,3.2,2.5,76,75,74,73,1.0,79,82,77,77,6.0,944.4820199635685,1031.62575252637,-3,-7,-3,-4,-5.0
SP1,2006-09-17,Espanol,Celta,1.0,0.0,0.0,D,9.0,15.0,3.0,5.0,21.0,14.0,1.0,8.0,3.0,1.0,0.0,0.0,2.4,3.2,2.87,2.3,3.15,2.85,2.3,3.1,2.8,2.5,3.1,2.5,2.3,3.1,2.7,76,78,74,68,15.0,74,76,73,72,6.0,974.8754150483442,989.083318305529,2,2,1,-4,9.0
SP1,2006-09-17,Osasuna,Gimnastic,1.0,1.0,0.0,H,10.0,8.0,2.0,1.0,13.0,26.0,5.0,6.0,1.0,1.0,0.0,0.0,1.72,3.6,4.5,1.6,3.5,5.15,1.7,3.3,4.5,1.7,3.2,4.5,1.65,3.25,4.5,78,80,76,74,7.5,72,73,69,69,1.5,974.3417132498566,979.6807813450883,6,7,7,5,6.0
