number,value,datetime_start,datetime_complete,duration,params_lgbm__bagging_fraction,params_lgbm__bagging_freq,params_lgbm__feature_fraction,params_lgbm__lambda_l1,params_lgbm__lambda_l2,params_lgbm__min_child_samples,params_lgbm__n_estimators,params_lgbm__num_leaves,params_threshold,state
4,6.507791647293666,2021-10-29 09:49:17.890208,2021-10-29 09:49:23.016045,0 days 00:00:05.125837,0.7913565842021248,1,0.7709221870078735,2.0662662277438353e-07,3.3321342106822985e-08,7,690,135,0.5546751468467294,COMPLETE
65,5.494027037268084,2021-10-29 09:49:59.191489,2021-10-29 09:50:08.399202,0 days 00:00:09.207713,0.8460262965363758,7,0.4411507165242736,0.0007880751360923965,2.7458329293237316e-08,90,419,95,0.6955008326037835,COMPLETE
269,5.26493674002823,2021-10-29 09:55:05.659523,2021-10-29 09:55:12.338158,0 days 00:00:06.678635,0.7829446781759394,7,0.4779843484287232,0.0002122960323599091,3.3687469474949867,46,327,94,0.6095517571889195,COMPLETE
16,5.169471162726784,2021-10-29 09:49:24.238510,2021-10-29 09:49:39.224519,0 days 00:00:14.986009,0.4241145559918252,2,0.7916861861855855,6.011330839418801e-07,3.280773573824411e-08,83,314,92,0.6535618978385629,COMPLETE
69,4.656733301069035,2021-10-29 09:50:04.582243,2021-10-29 09:50:13.096928,0 days 00:00:08.514685,0.8564903127475852,3,0.7168786921396781,1.0442786594878997e-05,2.0852305344841247,54,271,70,0.5518247669391404,COMPLETE
151,4.538620316472364,2021-10-29 09:51:50.712229,2021-10-29 09:52:11.384896,0 days 00:00:20.672667,0.8524749933163622,7,0.415318607031022,0.00031973812303494266,1.800249728859844,46,708,67,0.6092258803536035,COMPLETE
271,4.279857690202518,2021-10-29 09:55:08.190204,2021-10-29 09:55:13.402084,0 days 00:00:05.211880,0.4106013151286642,7,0.7918355172742271,0.00020134543049126494,0.00017230542605738074,80,780,96,0.6098384939291369,COMPLETE
244,4.148524152316873,2021-10-29 09:54:31.810796,2021-10-29 09:54:36.737140,0 days 00:00:04.926344,0.481409886968303,7,0.4597066219455524,9.614734770617601e-05,0.0004261886117164453,40,282,70,0.5792364654529195,COMPLETE
270,4.029618161892751,2021-10-29 09:55:05.667265,2021-10-29 09:55:12.588542,0 days 00:00:06.921277,0.41265753940621136,7,0.5475473002172058,0.0002568756927226634,0.5909760918182448,5,232,92,0.6100670191662646,COMPLETE
27,3.949824561403508,2021-10-29 09:49:41.214062,2021-10-29 09:49:43.884269,0 days 00:00:02.670207,0.7646696506476744,4,0.6848595788866357,2.087509658584611e-07,1.1902254007946004e-06,69,287,56,0.5867240922798853,COMPLETE
15,3.7531683013270203,2021-10-29 09:49:23.043901,2021-10-29 09:49:33.300574,0 days 00:00:10.256673,0.4146242436731078,7,0.454369552890248,1.5668263503121231,4.060814561014889,35,206,112,0.6601798162749889,COMPLETE
23,3.6505449208989287,2021-10-29 09:49:36.399969,2021-10-29 09:49:43.938962,0 days 00:00:07.538993,0.7837460414635222,1,0.6357098639321845,2.941518304415391e-08,3.2801692938496845,6,206,61,0.6265219164865358,COMPLETE
133,3.545615602797023,2021-10-29 09:50:56.106799,2021-10-29 09:51:26.285762,0 days 00:00:30.178963,0.7679532923356454,7,0.7551452797106694,6.052972897128301e-06,0.0007451897514044908,52,712,84,0.6039343183114441,COMPLETE
219,3.4573785665929164,2021-10-29 09:53:59.462667,2021-10-29 09:54:05.449353,0 days 00:00:05.986686,0.40860773632670994,1,0.77733120017874,1.3140965903734244e-06,1.5066518027080646,39,749,91,0.5653255141212564,COMPLETE
136,3.420832310799248,2021-10-29 09:50:57.116389,2021-10-29 09:51:27.775848,0 days 00:00:30.659459,0.41606944528312817,7,0.7849681730120037,0.00015208029227344115,1.040419999990283,51,725,83,0.6021141293670894,COMPLETE
150,3.4066820591227995,2021-10-29 09:51:50.273048,2021-10-29 09:52:11.888112,0 days 00:00:21.615064,0.8554036688789293,7,0.4219124078961249,0.000376552412407829,0.5709499006100154,14,708,150,0.5951395745486909,COMPLETE
159,3.374490294337298,2021-10-29 09:52:11.890624,2021-10-29 09:52:24.968669,0 days 00:00:13.078045,0.843693510088039,7,0.729716733244264,0.0003233399386664366,2.21068586780959,42,724,66,0.6289093248170412,COMPLETE
194,2.9465836771346723,2021-10-29 09:53:05.453844,2021-10-29 09:53:41.822326,0 days 00:00:36.368482,0.7913420472235336,1,0.4639548483636644,9.758652868922227e-05,0.8247584954725867,50,538,161,0.5748633739266714,COMPLETE
196,2.75525126825125,2021-10-29 09:53:07.290739,2021-10-29 09:53:42.844157,0 days 00:00:35.553418,0.42798587183370396,1,0.7942133345071328,2.1004923325581606e-06,0.005484560508461854,60,383,98,0.5915204116070183,COMPLETE
263,2.7371967378725457,2021-10-29 09:54:52.776758,2021-10-29 09:55:08.183583,0 days 00:00:15.406825,0.41252332896307703,7,0.7918404593609293,0.00022111984823360752,0.0003307550668122328,84,739,65,0.6262117738305538,COMPLETE
44,2.716602200870495,2021-10-29 09:49:50.045912,2021-10-29 09:49:52.993244,0 days 00:00:02.947332,0.5093975242696563,6,0.5076605342604512,6.0759361190767405e-05,5.062299684845812e-08,81,376,83,0.6626529247892158,COMPLETE
274,2.677322661644696,2021-10-29 09:55:10.080016,2021-10-29 09:55:15.055199,0 days 00:00:04.975183,0.44966526855304967,6,0.7796627077126241,0.0001900378106100425,0.6656198377759759,80,777,116,0.6906822998654084,COMPLETE
195,2.608181584123115,2021-10-29 09:53:07.165757,2021-10-29 09:53:43.548895,0 days 00:00:36.383138,0.7947362497966528,1,0.46956653992523595,1.9619618308408206e-06,1.3531329458512449,20,382,86,0.5942050774343154,COMPLETE
245,2.434491658688791,2021-10-29 09:54:32.062864,2021-10-29 09:54:37.502010,0 days 00:00:05.439146,0.8082480722009813,7,0.7970480116638172,4.791256665825373e-08,0.00043307675483469124,85,708,66,0.5817602528952184,COMPLETE
134,2.3967588211510438,2021-10-29 09:50:56.575082,2021-10-29 09:51:26.453815,0 days 00:00:29.878733,0.8616046071919274,7,0.7565911658187792,0.00014334875245974378,1.009230854242934,30,719,154,0.5784564979317915,COMPLETE
147,2.3092873645356105,2021-10-29 09:51:46.601442,2021-10-29 09:52:06.860503,0 days 00:00:20.259061,0.7995411658788277,7,0.4042979896791511,0.0003957929052065087,2.0607111145743247,41,737,94,0.5973799725018453,COMPLETE
231,2.2696699297826806,2021-10-29 09:54:18.498566,2021-10-29 09:54:28.569452,0 days 00:00:10.070886,0.4194574554189676,7,0.7607079417069805,7.007198766421136e-07,3.811569391279631e-05,9,726,62,0.5769094196928879,COMPLETE
179,2.236322289530776,2021-10-29 09:52:37.510862,2021-10-29 09:52:57.466541,0 days 00:00:19.955679,0.8787552165858973,1,0.46889532303505577,3.786361439147046e-05,0.4003475590067855,55,714,73,0.6020605176441779,COMPLETE
177,2.1946778514476373,2021-10-29 09:52:36.451580,2021-10-29 09:52:56.409341,0 days 00:00:19.957761,0.778126588638038,1,0.7664525667835645,0.0002253248539164989,0.030096011289970265,56,354,74,0.6477297185744829,COMPLETE
123,2.149768808842716,2021-10-29 09:50:42.725993,2021-10-29 09:50:53.855789,0 days 00:00:11.129796,0.8346785528564631,7,0.47947706002065055,3.3651119073816763e-06,1.538410201384632,88,675,146,0.6358685179697864,COMPLETE
262,2.116555397529147,2021-10-29 09:54:52.642491,2021-10-29 09:55:05.652417,0 days 00:00:13.009926,0.7981223451287386,7,0.695024635364105,4.302127982233139e-08,0.0002802913404698274,90,277,60,0.6503898413362491,COMPLETE
261,1.9737179487179484,2021-10-29 09:54:51.458693,2021-10-29 09:54:52.771760,0 days 00:00:01.313067,0.47935266692382034,7,0.8004518095182797,3.848912436336818e-08,0.0009449909800857448,81,286,62,0.621346289207069,COMPLETE
